SobicG060100.3.v3.1,Zm00008a025253_T01.v1.1,Zm00008a025384_T01.v1.1
SobicG233900.1.v3.1,Zm00008a026457_T01.v1.1,Zm00008a026557_T01.v1.1
SobicG330100.1.v3.1,Zm00008a001781_T01.v1.1,Zm00008a001822_T01.v1.1
SobicG062200.1.v3.1,Zm00008a038662_T01.v1.1,Zm00008a037021_T01.v1.1
SobicG018100.1.v3.1,Zm00008a018806_T01.v1.1,Zm00008a018856_T01.v1.1
SobicG166100.2.v3.1,Zm00008a031500_T01.v1.1,Zm00008a031511_T01.v1.1
SobicG018900.1.v3.1,Zm00008a014785_T01.v1.1,Zm00008a014839_T01.v1.1
SobicG243200.1.v3.1,Zm00008a026482_T01.v1.1,Zm00008a026525_T01.v1.1
SobicG282000.1.v3.1,Zm00008a029732_T01.v1.1,Zm00008a028834_T01.v1.1
SobicG475400.1.v3.1,Zm00008a002537_T01.v1.1,Zm00008a000597_T01.v1.1
SobicG175900.2.v3.1,Zm00008a016304_T01.v1.1,Zm00008a018330_T01.v1.1
SobicG170301.1.v3.1,Zm00008a004697_T01.v1.1,Zm00008a004560_T01.v1.1
SobicG170600.1.v3.1,Zm00008a034281_T01.v1.1,Zm00008a034433_T01.v1.1
SobicG030400.1.v3.1,Zm00008a023752_T01.v1.1,Zm00008a037395_T01.v1.1
SobicG030900.1.v3.1,Zm00008a023609_T01.v1.1,Zm00008a037385_T01.v1.1
SobicG476300.1.v3.1,Zm00008a002541_T01.v1.1,Zm00008a000587_T01.v1.1
SobicG288600.1.v3.1,Zm00008a013890_T01.v1.1,Zm00008a013899_T01.v1.1
SobicG235500.1.v3.1,Zm00008a026473_T01.v1.1,Zm00008a026527_T01.v1.1
SobicG260600.1.v3.1,Zm00008a028486_T01.v1.1,Zm00008a028535_T01.v1.1
SobicG474600.1.v3.1,Zm00008a002534_T01.v1.1,Zm00008a000601_T01.v1.1
SobicG067200.1.v3.1,Zm00008a005381_T01.v1.1,Zm00008a005402_T01.v1.1
SobicG473900.1.v3.1,Zm00008a002532_T01.v1.1,Zm00008a000617_T01.v1.1
SobicG240600.1.v3.1,Zm00008a026503_T01.v1.1,Zm00008a026506_T01.v1.1
SobicG181500.1.v3.1,Zm00008a018290_T01.v1.1,Zm00008a017937_T01.v1.1
SobicG236100.1.v3.1,Zm00008a026479_T01.v1.1,Zm00008a026507_T01.v1.1
SobicG300400.1.v3.1,Zm00008a028700_T01.v1.1,Zm00008a028825_T01.v1.1
SobicG142800.2.v3.1,Zm00008a004759_T01.v1.1,Zm00008a005881_T01.v1.1
SobicG213100.1.v3.1,Zm00008a034844_T01.v1.1,Zm00008a034878_T01.v1.1
SobicG148400.1.v3.1,Zm00008a006912_T01.v1.1,Zm00008a006875_T01.v1.1
SobicG060600.1.v3.1,Zm00008a037179_T01.v1.1,Zm00008a038684_T01.v1.1
SobicG472800.1.v3.1,Zm00008a000728_T01.v1.1,Zm00008a002525_T01.v1.1
SobicG243900.1.v3.1,Zm00008a026473_T01.v1.1,Zm00008a026527_T01.v1.1
SobicG158300.2.v3.1,Zm00008a030511_T01.v1.1,Zm00008a030519_T01.v1.1
SobicG234300.1.v3.1,Zm00008a026463_T01.v1.1,Zm00008a026546_T01.v1.1
SobicG231600.1.v3.1,Zm00008a020255_T01.v1.1,Zm00008a020328_T01.v1.1
SobicG255200.2.v3.1,Zm00008a028486_T01.v1.1,Zm00008a028535_T01.v1.1
SobicG024200.1.v3.1,Zm00008a017734_T01.v1.1,Zm00008a017751_T01.v1.1
SobicG175800.1.v3.1,Zm00008a016299_T01.v1.1,Zm00008a018331_T01.v1.1
